# Started Mon Feb  9 12:05:23 2026
id,type,src,event_ts,value,confidence,event_status,value_datatype,value_unit,extras
0c8b695a-b9a8-4c0e-bb77-6774050101f9,float,speed-1,1770656733.1811445,14.425611562049838,1.0,observed,scalar,km/h,{'drift': 0.5150298603835739, 'noise': -1.95737510911222}
2d289b58-14ee-427e-aa29-64e371256bf4,float,fuel-1,1770656733.1811445,49.436302006973825,1.0,observed,scalar,%,{'drift': -0.18499477078018678, 'noise': -0.07453978219088217}
8eb9e1f2-5df0-470e-b6d1-a0c319cfd4e0,float,engine-temp-1,1770656733.8610988,70.0,1.0,observed,scalar,C,{'drift': -0.22732546538182996, 'noise': -2.9105855095883038}
8a32980c-a208-4393-b5d4-286e70e7e6d0,float,speed-1,1770656734.177099,9.41410172772795,1.0,observed,scalar,km/h,{'drift': -0.8561427496136265, 'noise': -4.155367084708262}
6634999c-d12b-4cba-8e7d-e4cedae6de15,float,fuel-1,1770656734.425859,49.52364741324072,1.0,observed,scalar,%,{'drift': 0.16252716706851478, 'noise': -0.07518176080162046}
a8d4d2dc-5690-4b9a-8afe-8cee1c03cf93,float,engine-temp-1,1770656734.746642,70.0,1.0,observed,scalar,C,{'drift': -0.21538046031478836, 'noise': -0.5960453710840916}
6562b61c-228b-46fc-8731-3f1ebf6125b3,float,speed-1,1770656735.1738968,13.270494905131498,1.0,observed,scalar,km/h,{'drift': 1.7745968483079135, 'noise': 2.0817963290956354}
d4b15f4f-e612-4e9b-b86d-e85295ef2955,float,engine-temp-1,1770656735.63541,71.5838351599788,1.0,observed,scalar,C,{'drift': 0.02868456702643718, 'noise': 1.5551505929523735}
cd0bb75e-b956-4cdd-8c97-197612b05662,float,fuel-1,1770656735.6771035,49.630151690657584,1.0,observed,scalar,%,{'drift': 0.23037756089239658, 'noise': -0.12387328347552695}
488cee74-77c0-4a9b-bff1-724f6e12c6eb,float,speed-1,1770656736.1741788,11.558438285841717,1.0,observed,scalar,km/h,{'drift': 0.4850523085249927, 'noise': -2.197108927814774}
a53529e8-b29a-406c-80b5-716e50fcd0a6,float,engine-temp-1,1770656736.5393047,73.54879963230978,1.0,observed,scalar,C,{'drift': 0.2726179177340678, 'noise': 1.6923465545969072}
aa20ab02-6a7a-4d41-8139-517d114705b6,float,fuel-1,1770656736.9312563,49.984913362894524,1.0,observed,scalar,%,{'drift': 0.329726619204989, 'noise': 0.025035053031954232}
eaa4ea45-fbc7-4427-9119-040e3ee2c8b6,float,speed-1,1770656737.1762393,0.0,1.0,observed,scalar,km/h,{'drift': -1.4716272946035551, 'noise': -11.87996649043181}
2d45d971-ef37-4dde-9feb-af1e1437b86b,float,engine-temp-1,1770656737.4214766,74.03165895432444,1.0,observed,scalar,C,{'drift': 0.12551947198537056, 'noise': 0.35733985002929414}
69d4ec4f-3076-4197-b915-f28c28919210,float,fuel-1,1770656738.1819978,49.487044050155696,1.0,observed,scalar,%,{'drift': -0.48335597755968385, 'noise': -0.014513335179144372}
0b8d44f8-e564-4381-81bb-438d74c1ffad,float,speed-1,1770656738.1819978,8.697451647359449,1.0,observed,scalar,km/h,{'drift': 0.6416817916124882, 'noise': 8.055769855746961}
36e1abd7-6e32-4101-8238-b15d8da771f8,float,engine-temp-1,1770656738.3035522,71.61372461875949,1.0,observed,scalar,C,{'drift': -0.18350914771161583, 'noise': -2.234425187853337}
505888e8-14da-436b-9d84-3c42220e713b,simulated,speed-1,1770656739.1512105,12.15111871807734,0.9930613963515603,reconstructed,unknown,,{'reconstruction_method': 'KalmanFilter', 'reconstruction_time': 1770656739.2602808}
ddcf3ef3-30e4-4a08-adf0-3ef914f6811b,simulated,engine-temp-1,1770656739.1712124,71.80539812561045,0.9971667843098311,reconstructed,unknown,,{'reconstruction_method': 'KalmanFilter', 'reconstruction_time': 1770656739.2814553}
