# Started Mon Mar  9 17:48:59 2026
id,type,src,event_ts,value,confidence,event_status,value_datatype,value_unit,extras
8308bbe8-4ec7-4e70-8fca-3835bc7041c4,float,fuel-1,1773092947.1302662,49.23162230179571,1.0,observed,scalar,%,{'drift': -0.259037089300183, 'noise': 0.027338845759749104}
05287d64-da9a-4b7e-a1ed-c089639f487d,float,speed-1,1773092947.6203525,9.07018551776526,1.0,observed,scalar,km/h,{'drift': -0.9218653120251528, 'noise': 1.2353951515773207}
dde7ced1-7938-4f85-a2d1-cce8e4538d74,float,engine-temp-1,1773092947.6351883,70.0,1.0,observed,scalar,C,{'drift': 0.14255319741089795, 'noise': -1.1055588152359195}
0759136c-68a4-4349-8e22-cb5906299606,float,fuel-1,1773092948.3744376,49.25139495376319,1.0,observed,scalar,%,{'drift': 0.09262213136782671, 'noise': -0.07284947940034937}
502a38bf-575f-44d4-a016-0565a8c7f2dc,float,engine-temp-1,1773092948.5301447,73.83548124777471,1.0,observed,scalar,C,{'drift': -0.16757898882280856, 'noise': 4.003060236597512}
f662f638-a16d-488e-9a23-af8839b1e263,simulated,speed-1,1773092948.609859,5.965255442762183,0.9406193795659084,reconstructed,unknown,,{'reconstruction_method': 'KalmanFilter', 'reconstruction_time': 1773092948.7213478}
38b48fcd-7827-43bb-b031-267c4870f9a9,float,engine-temp-1,1773092949.4281998,73.58001760743888,1.0,observed,scalar,C,{'drift': -0.008861148338087266, 'noise': -0.2466024919977527}
ca90f974-1256-49ff-8688-0bf058aae65a,float,fuel-1,1773092949.6317213,48.976973585699184,1.0,observed,scalar,%,{'drift': -0.3142941746182466, 'noise': 0.039872806554238895}
ee8a4dad-127e-4b4f-b062-275b13a754ae,simulated,speed-1,1773092949.609859,4.4545729202061155,0.9265247786388308,reconstructed,unknown,,{'reconstruction_method': 'KalmanFilter', 'reconstruction_time': 1773092949.7118366}
8d47a906-8f08-44a9-b8c0-e7de1c7ac055,float,engine-temp-1,1773092950.3045654,73.56574194396369,1.0,observed,scalar,C,{'drift': -0.027435423716335117, 'noise': 0.01315976024114303}
d987fec5-a20e-4d94-9454-bdf4179ad8f6,simulated,speed-1,1773092950.609859,2.9125557366122754,0.9127393322412951,reconstructed,unknown,,{'reconstruction_method': 'KalmanFilter', 'reconstruction_time': 1773092950.7115374}
c49ebeda-7824-4e9e-8812-894bee0cebe3,float,fuel-1,1773092950.881734,49.055555503850364,1.0,observed,scalar,%,{'drift': 0.23478759471573596, 'noise': -0.15620567656455525}
f43c678b-c758-44ed-adb7-3aef16769f28,simulated,engine-temp-1,1773092951.1798604,73.30006284466705,0.958999627921025,reconstructed,unknown,,{'reconstruction_method': 'KalmanFilter', 'reconstruction_time': 1773092951.287651}
33077b24-3a03-4f5e-b2fa-07dace9df7b9,simulated,speed-1,1773092951.609859,1.3392038919806637,0.8992540628318729,reconstructed,unknown,,{'reconstruction_method': 'KalmanFilter', 'reconstruction_time': 1773092951.7190714}
